prop_desc,prop_size(lower),prop_price,post_code,out_code,type
"Office / Residential Opportunity, 40 Great Smith Street, Westminster, SW1P 3BU","1,695 ",3400000, SW1P 3BU,SW1P,Office / Residential Opportunity
"B1 Unit or May Suit A1, A2, D1, D2 (STP), Palace View, 1 Lambeth High Street, Southwark, SE1 7JN","5,690 ",2250000, SE1 7JN,SE1,B1 Unit or May Suit A1
"Self Contained Office Over Ground & Lower Ground, 177 Southwark Bridge Road, Southwark, SE1 0ED","1,113 ",575000, SE1 0ED,SE1,Self Contained Office Over Ground & Lower Ground
"27 Kelso Place , Kensington, London, W8 5QG","5,530 ",5500000, W8 5QG,W8,27 Kelso Place 
"Ground & Lower Ground Office Suites, Larkhall Quarter, 156 Edgeley Road, Clapham, SW4 6HB","1,632 ",625000, SW4 6HB,SW4,Ground & Lower Ground Office Suites
"Lillie Road, Fulham SW6, SW6 1TL, Earl's Court, SW6 1TL","3,891 ",1999950, SW6 1TL,SW6,Lillie Road
"Retail Unit With Small Yard To The Rear, 91-93 Queen’s Road, Peckham, SE15 2EZ","2,152 ",770000, SE15 2EZ,SE15,Retail Unit With Small Yard To The Rear
"Ground Floor Office Suite, Genoa House, Battersea Reach, Battersea, SW18 1FY","1,728 ",925000, SW18 1FY,SW18,Ground Floor Office Suite
"Retail Investment, 5 Milliners House, Eastfields Avenue, Riverside Quarter, Wandsworth, SW18 1LP","1,316 ",880000, SW18 1LP,SW18,Retail Investment
"Studio/Office Premises for Sale, 26 Point Pleasant, Wandsworth, SW18 1GG","2,477 ",1245000, SW18 1GG,SW18,Studio/Office Premises for Sale
"Self-Contained Office Building, 5 Jaggard Way, Wandsworth Common, SW12 8SG","1,785 ",1000000, SW12 8SG,SW12,Self-Contained Office Building
"Two Commercial Premises With B1 Consent, 175 Wandsworth High Street, Wandsworth, SW18 4JB","1,136 ",495000, SW18 4JB,SW18,Two Commercial Premises With B1 Consent
"Office Unit - To Let/For Sale, 17 Hardwicks Square, Wandsworth, SW18 4AG","4,288 ",1400000, SW18 4AG,SW18,Office Unit - To Let/For Sale
"Retail Premises With 1st Floor Office, 253-255 Putney Bridge Road, Wandsworth, SW15 2PU","1,993 ",947000, SW15 2PU,SW15,Retail Premises With 1st Floor Office
"Restaurant with Residential Above, 195 Castelnau, Barnes, SW13 9ER","2,182 ",1400000, SW13 9ER,SW13,Restaurant with Residential Above
"Wightman Road, Harringay N4, N4 1RU, Harringay, N4 1RU","3,000 ",7500000, N4 1RU,N4,Wightman Road
"Business Premises With Residential Above, 351 King Street, Hammersmith, W6 9NH","1,133 ",450000, W6 9NH,W6,Business Premises With Residential Above
