city,prop_desc,prop_size(lower),prop_price
london,"Office / Residential Opportunity, 40 Great Smith Street, Westminster, SW1P 3BU","1,695 ",3400000
london,"B1 Unit or May Suit A1, A2, D1, D2 (STP), Palace View, 1 Lambeth High Street, Southwark, SE1 7JN","5,690 ",2250000
london,"Self Contained Office Over Ground & Lower Ground, 177 Southwark Bridge Road, Southwark, SE1 0ED","1,113 ",575000
london,"27 Kelso Place , Kensington, London, W8 5QG","5,530 ",5500000
london,"Ground & Lower Ground Office Suites, Larkhall Quarter, 156 Edgeley Road, Clapham, SW4 6HB","1,632 ",625000
london,"Lillie Road, Fulham SW6, SW6 1TL, Earl's Court, SW6 1TL","3,891 ",1999950
london,"Retail Unit With Small Yard To The Rear, 91-93 Queen’s Road, Peckham, SE15 2EZ","2,152 ",770000
london,"Ground Floor Office Suite, Genoa House, Battersea Reach, Battersea, SW18 1FY","1,728 ",925000
london,"Retail Investment, 5 Milliners House, Eastfields Avenue, Riverside Quarter, Wandsworth, SW18 1LP","1,316 ",880000
london,"Studio/Office Premises for Sale, 26 Point Pleasant, Wandsworth, SW18 1GG","2,477 ",1245000
london,"Self-Contained Office Building, 5 Jaggard Way, Wandsworth Common, SW12 8SG","1,785 ",1000000
london,"Two Commercial Premises With B1 Consent, 175 Wandsworth High Street, Wandsworth, SW18 4JB","1,136 ",495000
london,"Office Unit - To Let/For Sale, 17 Hardwicks Square, Wandsworth, SW18 4AG","4,288 ",1400000
london,"Retail Premises With 1st Floor Office, 253-255 Putney Bridge Road, Wandsworth, SW15 2PU","1,993 ",947000
london,"Restaurant with Residential Above, 195 Castelnau, Barnes, SW13 9ER","2,182 ",1400000
london,"Wightman Road, Harringay N4, N4 1RU, Harringay, N4 1RU","3,000 ",7500000
london,"Business Premises With Residential Above, 351 King Street, Hammersmith, W6 9NH","1,133 ",450000
london,"D1 Use Building For Sale, 14A Stowage, Deptford, SE8 3ED","3,600 ",750000
london,"Unit 20 & 21, Cranford Way, London, N8 9DG","9,055 ",1500000
london,"Mixed Use Ground Floor Units For Sale, Hope Wharf, 37 Greenwich High Road, Greenwich, SE10 8LR","1,491 ",390000
london,"138-146, High Road, Streatham, SW16 1BJ","16,932 ",2700000
london,"25 Mitcham Lane, London, SW16 6LQ","7,342 ",1575000
london,"379 Upper Richmond Road, London, SW15 5QJ","2,352 ",850000
london,"3-4 Turnpike Parade, Green Lanes, Wood Green, N15 3LA","1,403 ",200000
london,"Retail & Residential Investment, 225 Golders Green Road, Golders Green, NW11 9ES","1,745 ",2000000
london,"Investment Opportunity For Sale, Old Timber Court 1 & 2, Acton Lane, Chiswick, W4 5JQ","1,650 ",1100000
london,"42 Gorst Road, Park Royal, NW10 6LD","15,077 ",3015400
london,"Botanic House, 309-317 Chiswick High Road, London, W4 4HH","1,350 ",950000
london,"New Build Unit with A1/B1/D2 Consent, 223 Streatham Road, Mitcham, CR4 2AJ","2,939 ",950000
london,"Unit 24, Cumberland Business Park, 17 Cumberland Avenue, NW10 7RT","2,227 ",600000
london,"Self-Contained Office Building, 229 The Broadway, Wimbledon, SW19 1SD","1,397 ",725000
london,"Office Building With Residential Potential, No 3 Printers Yard, 90a The Broadway, Wimbledon, SW19 1RD","1,691 ",875000
london,"Unit 5, Popin Business Centre, South Way, Wembley, HA9 0HB","2,800 ",580000
london,"Office And Workshop With Potential For Other Uses, 189A Livingstone Road, Thornton Heath, CR7 8JZ","1,375 ",475000
london,"23-25 Lombard Road, Wimbledon, SW19 3TZ","40,832 ",4500000
london,"Retail Development Opportunity, Hendon Waterside, West Hendon Broadway, West Hendon, NW9 7FA",710," 2,034 "
