,city,prop_type,prop_size,prop_desc,prop_price
0,london,1,"1,695 to 4,645 Sq Ft","Office / Residential Opportunity, 40 Great Smith Street, Westminster, SW1P 3BU","- £3,400,000.00"
1,london,1,"1,695 to 4,645 Sq Ft","Office / Residential Opportunity, 40 Great Smith Street, Westminster, SW1P 3BU","- £3,400,000.00"
2,london,1,"5,690 Sq Ft","B1 Unit or May Suit A1, A2, D1, D2 (STP), Palace View, 1 Lambeth High Street, Southwark, SE1 7JN","- £2,250,000.00"
3,london,1,"1,695 to 4,645 Sq Ft","Office / Residential Opportunity, 40 Great Smith Street, Westminster, SW1P 3BU","- £3,400,000.00"
4,london,1,"5,690 Sq Ft","B1 Unit or May Suit A1, A2, D1, D2 (STP), Palace View, 1 Lambeth High Street, Southwark, SE1 7JN","- £2,250,000.00"
5,london,1,"2,158 to 4,316 Sq Ft","Office Suites Finished To A High Specification, Trident House, 46-48 Webber Street, Lambeth, SE1 8QW",
6,london,1,"1,695 to 4,645 Sq Ft","Office / Residential Opportunity, 40 Great Smith Street, Westminster, SW1P 3BU","- £3,400,000.00"
7,london,1,"5,690 Sq Ft","B1 Unit or May Suit A1, A2, D1, D2 (STP), Palace View, 1 Lambeth High Street, Southwark, SE1 7JN","- £2,250,000.00"
8,london,1,"2,158 to 4,316 Sq Ft","Office Suites Finished To A High Specification, Trident House, 46-48 Webber Street, Lambeth, SE1 8QW",
9,london,1,"1,113 Sq Ft","Self Contained Office Over Ground & Lower Ground, 177 Southwark Bridge Road, Southwark, SE1 0ED","- £575,000.00"
10,london,1,"1,695 to 4,645 Sq Ft","Office / Residential Opportunity, 40 Great Smith Street, Westminster, SW1P 3BU","- £3,400,000.00"
11,london,1,"5,690 Sq Ft","B1 Unit or May Suit A1, A2, D1, D2 (STP), Palace View, 1 Lambeth High Street, Southwark, SE1 7JN","- £2,250,000.00"
12,london,1,"2,158 to 4,316 Sq Ft","Office Suites Finished To A High Specification, Trident House, 46-48 Webber Street, Lambeth, SE1 8QW",
13,london,1,"1,113 Sq Ft","Self Contained Office Over Ground & Lower Ground, 177 Southwark Bridge Road, Southwark, SE1 0ED","- £575,000.00"
14,london,1,"5,530 Sq Ft","27 Kelso Place , Kensington, London, W8 5QG","- £5,500,000.00"
15,london,1,"1,695 to 4,645 Sq Ft","Office / Residential Opportunity, 40 Great Smith Street, Westminster, SW1P 3BU","- £3,400,000.00"
16,london,1,"5,690 Sq Ft","B1 Unit or May Suit A1, A2, D1, D2 (STP), Palace View, 1 Lambeth High Street, Southwark, SE1 7JN","- £2,250,000.00"
17,london,1,"2,158 to 4,316 Sq Ft","Office Suites Finished To A High Specification, Trident House, 46-48 Webber Street, Lambeth, SE1 8QW",
18,london,1,"1,113 Sq Ft","Self Contained Office Over Ground & Lower Ground, 177 Southwark Bridge Road, Southwark, SE1 0ED","- £575,000.00"
19,london,1,"5,530 Sq Ft","27 Kelso Place , Kensington, London, W8 5QG","- £5,500,000.00"
20,london,1,"1,632 Sq Ft","Ground & Lower Ground Office Suites, Larkhall Quarter, 156 Edgeley Road, Clapham, SW4 6HB","- £625,000.00"
21,london,1,"1,695 to 4,645 Sq Ft","Office / Residential Opportunity, 40 Great Smith Street, Westminster, SW1P 3BU","- £3,400,000.00"
22,london,1,"5,690 Sq Ft","B1 Unit or May Suit A1, A2, D1, D2 (STP), Palace View, 1 Lambeth High Street, Southwark, SE1 7JN","- £2,250,000.00"
23,london,1,"2,158 to 4,316 Sq Ft","Office Suites Finished To A High Specification, Trident House, 46-48 Webber Street, Lambeth, SE1 8QW",
24,london,1,"1,113 Sq Ft","Self Contained Office Over Ground & Lower Ground, 177 Southwark Bridge Road, Southwark, SE1 0ED","- £575,000.00"
25,london,1,"5,530 Sq Ft","27 Kelso Place , Kensington, London, W8 5QG","- £5,500,000.00"
26,london,1,"1,632 Sq Ft","Ground & Lower Ground Office Suites, Larkhall Quarter, 156 Edgeley Road, Clapham, SW4 6HB","- £625,000.00"
27,london,1,"2,906 to 8,030 Sq Ft","Fortess Works, Fortess Grove, Kentish Town, London, NW5 2HD",
