,city,prop_size(lower),out_code,prop_price
0,london,1695 ,SW1P,3400000
1,london,5690 ,SE1,2250000
2,london,1113 ,SE1,575000
3,london,5530 ,W8,5500000
4,london,1632 ,SW4,625000
5,london,3891 ,SW6,1999950
6,london,2152 ,SE15,770000
7,london,1728 ,SW18,925000
8,london,1316 ,SW18,880000
9,london,2477 ,SW18,1245000
10,london,1785 ,SW12,1000000
11,london,1136 ,SW18,495000
12,london,4288 ,SW18,1400000
13,london,1993 ,SW15,947000
14,london,2182 ,SW13,1400000
15,london,3000 ,N4,7500000
16,london,1133 ,W6,450000
17,london,3600 ,SE8,750000
18,london,9055 ,N8,1500000
19,london,1491 ,SE10,390000
20,london,16932 ,SW16,2700000
21,london,7342 ,SW16,1575000
22,london,2352 ,SW15,850000
23,london,1403 ,N15,200000
24,london,1745 ,NW11,2000000
25,london,1650 ,W4,1100000
26,london,15077 ,NW10,3015400
27,london,1350 ,W4,950000
28,london,2939 ,CR4,950000
29,london,2227 ,NW10,600000
30,london,1397 ,SW19,725000
31,london,1691 ,SW19,875000
32,london,2800 ,HA9,580000
33,london,1375 ,CR7,475000
34,london,40832 ,SW19,4500000
35,london,710,NW9, 2034 
36,london,37000 ,N18,6000000
37,london,1347 ,CR7,800000
38,london,33552 ,HA0,8250000
39,london,9128 ,CR4,850000
40,london,15403 ,CR4,1400000
41,london,1921 ,UB6,500000
42,london,33332 ,UB6,5600000
43,london,1532 ,N20,1200000
44,london,1511 ,CR0,475000
45,london,32400 ,E6,8200000
46,london,2325 ,CR4,395000
47,london,4580 ,N20,1534000
48,london,9504 ,N20,3183840
49,london,1600 ,SE18,350000
50,london,1105 ,SW20,250000
51,london,5288 ,CR0,1425000
52,london,1205 ,IG4,295000
53,london,1980 ,HA8,650000
54,london,26174 ,SM4,3500000
55,london,3014 ,HA8,825000
56,london,1650 ,SM1,425000
57,london,4162 ,TW1,1100000
58,london,5573 ,SM4,675000
59,london,3439 ,SM4,625000
60,london,2873 ,CR0,735000
61,london,1846 ,CR0,750000
62,london,2235 ,SE9,525000
63,london,2407 ,EN3,355000
64,london,1441 ,EN3,200000
65,london,1503 ,CR0,500000
66,london,6781 ,CR0,2550000
67,london,206,HA3, 1500 
68,london,1333 ,EN2,475000
69,london,2680 ,EN3,465000
70,london,4504 ,CR0,995000
71,london,5080 ,EN3,1000000
72,london,2024 ,EN1,725000
73,london,4758 ,SM6,1000000
74,london,2242 ,SM5,795000
75,london,1500 ,HA1,110000
76,london,1000 ,SM6,525000
77,london,7735 ,TW3,3570000
78,london,2160 ,TW11,1400000
79,london,3870 ,EN5,1100000
80,london,30267 ,IG11,4750000
81,london,1665 ,CR2,450000
82,london,10836 ,CR2,1250000
83,london,23172 ,UB2,6372300
84,london,16618 ,UB2,4569950
85,london,6553 ,UB2,1965900
86,london,1991 ,SM2,465000
87,london,2250 ,WD6,849000
88,london,58000 ,WD6,12000000
89,london,37462 ,TW4,4500000
90,london,2539 ,KT17,900000
91,london,1503 ,SM7,335000
92,london,18068 ,EN9,2000000
93,london,13356 ,EN9,1800000
94,london,6472 ,EN9,1250000
95,london,1167 ,SM7,425000
96,london,2958 ,KT17,775000
97,london,2958 ,KT17,425000
98,london,1431 ,UB10,269950
99,london,12195 ,DA1,2000000
100,london,13285 ,UB8,2200000
101,london,1825 ,UB8,440000
102,london,3565 ,UB8,860000
103,london,1740 ,UB8,420000
104,london,3332 ,UB8,650000
105,london,2208 ,UB8,380000
106,london,1796 ,UB8,450000
107,london,2849 ,SL3,780000
108,london,786,KT13, 1370 
109,london,9890 ,KT22,3150000
110,london,10572 ,AL2,3100000
111,london,1615 ,KT13,750000
112,london,2228 ,KT22,900000
113,london,20883 ,RH1,275
114,london,1012 ,TW18,625000
115,london,2887 ,AL10,480000
